StockCode,Description,AnnualDemand,Revenue,DailyDemand,SafetyStock,ReorderPoint,EOQ,Risk,RevenuePct,CumRevenuePct,ABC_Class
22423,REGENCY CAKESTAND 3 TIER,24899,286486.3,68.21643835616439,238.75753424657535,716.272602739726,705.6769799277854,High Demand,0.016146050299860475,0.016146050299860475,A
85123A,WHITE HANGING HEART T-LIGHT HOLDER,93640,252072.46,256.54794520547944,897.917808219178,2693.753424657534,1368.5028315644802,High Demand,0.014206524424970994,0.03035257472483147,A
23843,"PAPER CRAFT , LITTLE BIRDIE",80995,168469.6,221.9041095890411,776.6643835616438,2329.9931506849316,1272.7529218194709,High Demand,0.009494759908579833,0.0398473346334113,A
M,Manual,9803,152340.57,26.85753424657534,94.0013698630137,282.0041095890411,442.78663033113367,High Demand,0.008585745656701265,0.04843308029011256,A
85099B,JUMBO BAG RED RETROSPOT,75759,136980.08,207.55890410958904,726.4561643835616,2179.368493150685,1230.9264803390981,High Demand,0.00772004546730127,0.05615312575741383,A
84879,ASSORTED COLOUR BIRD ORNAMENT,79913,127074.17,218.93972602739726,766.2890410958904,2298.8671232876713,1264.2230815801458,High Demand,0.007161759360335977,0.06331488511774981,A
POST,POSTAGE,5333,126563.04,14.610958904109589,51.13835616438356,153.41506849315067,326.58842600435185,High Demand,0.00713295264012015,0.07044783775786996,A
47566,PARTY BUNTING,23607,103880.23000000001,64.67671232876712,226.36849315068494,679.1054794520549,687.1244428777076,High Demand,0.005854574612262699,0.07630241237013266,A
23166,MEDIUM CERAMIC TOP STORAGE JAR,77916,81416.73000000001,213.46849315068494,747.1397260273973,2241.419178082192,1248.3268802681453,High Demand,0.004588556652901586,0.08089096902303425,A
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,29477,79594.33,80.75890410958904,282.65616438356165,847.9684931506849,767.8150819044909,High Demand,0.004485848209019746,0.085376817232054,A
79321,CHILLI LIGHTS,15735,72860.14,43.10958904109589,150.8835616438356,452.6506849315068,560.9812831102299,High Demand,0.0041063167254241344,0.08948313395747813,A
21137,BLACK RECORD COVER FRAME,19629,67209.44,53.778082191780825,188.2232876712329,564.6698630136987,626.5620480048245,High Demand,0.003787849537187135,0.09327098349466527,A
